name,handedness,height,weight,avg
John Trautwein,R,75,205,0
Andy Replogle,R,77,205,0
Zach Crouch,L,75,180,0
Benny Ayala,R,73,185,0.251
Ron Romanick,R,76,195,0
Greg Gross,L,70,160,0.287
Bruce Tanner,L,75,220,0
Sal Butera,R,72,190,0.227
Jack Brohamer,L,70,165,0.245
Von Joshua,L,70,170,0.273
Eddie Milner,L,71,173,0.253
Johnny Jeter,R,73,180,0.244
Angel Salazar,R,72,180,0.212
Tony Oliva,L,73,175,0.304
Cito Gaston,R,75,190,0.256
Cookie Rojas,R,70,160,0.263
Rich Morales,R,71,170,0.195
Dave Ford,R,76,190,0
Dan Ford,R,73,185,0.27
Barry Raziano,B,70,175,0
Darryl Motley,R,69,196,0.243
Ozzie Virgil,R,73,180,0.243
Johnny Oates,L,71,188,0.25
Pat Underwood,L,72,175,0
Mike Phillips,L,72,170,0.24
Ron Santo,R,72,190,0.277
Jay Johnstone,L,73,175,0.267
Jim Ray Hart,R,71,185,0.278
Marc Hill,R,75,205,0.223
Joel McKeon,L,72,185,0
Danny Fife,R,75,175,0
Chico Salmon,R,70,160,0.249
Joe Niekro,R,73,185,0.156
Andy Etchebarren,R,73,190,0.235
Ken Berry,R,72,175,0.255
Dave Concepcion,R,74,155,0.267
Junior Moore,R,71,185,0.264
Mike Richardt,R,72,170,0.226
Chris Brown,R,72,185,0.269
Al Bumbry,L,68,170,0.281
Al Downing,R,71,175,0.127
Bob Didier,B,72,190,0.229
Jake Gibbs,L,72,180,0.233
Garry Hancock,L,72,175,0.247
Ed Kranepool,L,75,205,0.261
Rick Rhoden,R,75,195,0.238
Denny McLain,R,73,185,0.133
Chuck Hiller,L,71,170,0.243
Jorge Orta,L,70,170,0.278
Dave Cash,R,71,170,0.283
Bucky Dent,R,69,170,0.247
Andy Beene,R,75,205,0
Bruce Robbins,L,73,190,0
Tony Gonzalez,L,69,170,0.286
Leon Hooten,R,71,180,0
Larry Haney,R,74,195,0.215
Billy Conigliaro,R,72,180,0.256
Gary Roenicke,R,75,205,0.247
Don Lock,R,74,195,0.238
Billy Cowan,R,72,170,0.236
Billy Smith,B,74,185,0.23
Allan Ramirez,R,70,180,0
Tony Perez,R,74,175,0.279
Chuck Schilling,R,70,160,0.239
Hal McRae,R,71,180,0.29
Dave Roberts,R,75,215,0.239
Brian Allard,R,73,175,0
Jim Lefebvre,B,72,180,0.251
Fernando Arroyo,R,74,180,0
Gary Beare,R,76,205,0
Charlie Spikes,R,75,215,0.246
Brian Dubois,L,70,165,0
Steve Whitaker,L,72,180,0.23
Manny Jimenez,L,73,185,0.272
Chris Batton,R,76,195,0
Duffy Dyer,R,72,187,0.221
Ken Henderson,B,74,180,0.257
Vance Lovelace,L,77,205,0
Greg Thayer,R,71,182,0
Vern Fuller,R,73,170,0.232
Paul Hartzell,R,77,200,0
Wayne Gross,L,74,210,0.233
Mike Champion,R,72,185,0.229
Ralph Botting,L,72,195,0
Paul Casanova,R,76,180,0.225
Steve Rogers,R,74,175,0.138
Keith Creel,R,74,180,0
Terry Crowley,L,72,180,0.25
Horace Clarke,B,69,170,0.256
Lou Clinton,R,73,185,0.247
Larry Cox,R,70,178,0.221
Nate Colbert,R,74,190,0.243
Phil Roof,R,74,190,0.215
Chuck Hinton,R,73,180,0.264
Tim Cullen,R,73,185,0.22
Tim Harkness,L,74,182,0.235
Rick Bosetti,R,71,185,0.25
Ron Pruitt,R,72,185,0.269
George Foster,R,73,180,0.274
Jerry White,B,70,164,0.253
Angel Mangual,R,70,178,0.245
Ken Gerhart,R,72,190,0.221
Mike Hershberger,R,70,175,0.252
Jim French,L,68,180,0.196
Dave Roberts,L,75,195,0.194
Jim Mason,L,74,185,0.203
Mike Smith,R,75,180,0
Willie Smith,L,72,182,0.248
T.R. Bryden,R,76,190,0
Jose Arcia,R,75,170,0.215
Leon Durham,L,73,185,0.277
Tom Makowski,R,71,185,0
Paul Householder,B,72,180,0.236
Aurelio Rodriguez,R,70,180,0.237
Jimmy Stewart,B,72,165,0.237
Dick Phillips,L,72,180,0.229
Andres Thomas,R,73,170,0.234
Ed Crosby,L,74,175,0.22
Mike de la Hoz,R,71,175,0.251
Frank Taveras,R,72,155,0.255
Joe Nossek,R,72,178,0.228
Larry Stahl,L,72,175,0.232
Jose Cruz,L,72,170,0.284
Don Mason,L,71,160,0.205
Bill Robinson,R,74,189,0.258
Jim Umbarger,L,78,200,0
Sal Bando,R,72,195,0.254
George Mitterwald,R,74,195,0.236
Mike Darr,R,76,190,0
Craig Robinson,R,70,165,0.219
Bob Tillman,R,76,205,0.232
Curt Wardle,L,77,220,0
Pat Corrales,R,72,180,0.216
Mike Tyson,R,69,170,0.241
Rafael Landestoy,B,70,165,0.237
Duane Josephson,R,72,190,0.258
Duane Walker,L,72,185,0.229
Glenn Hubbard,R,69,150,0.244
Roger Freed,R,72,190,0.245
George Hendrick,R,75,195,0.278
Rod Carew,L,72,170,0.328
Bob Davis,R,72,180,0.197
Toby Harrah,R,72,175,0.264
Rick Manning,L,73,180,0.257
Israel Sanchez,L,69,170,0
Steve Burke,B,74,200,0
Gary Matthews,R,74,185,0.281
Cesar Geronimo,L,72,165,0.258
Billy Bryan,L,76,200,0.216
Terry Taylor,R,73,180,0
Terry Whitfield,L,73,197,0.281
Mario Mendoza,R,71,170,0.215
Fred Lynn,L,73,185,0.283
Larry Hisle,R,74,193,0.273
Graig Nettles,L,72,180,0.248
Randy Nosek,R,76,215,0
Dave Engle,R,75,210,0.262
Narciso Elvira,L,70,160,0
Mike Easler,L,72,190,0.293
Mark Smith,R,74,215,0
Paul Mitchell,R,73,195,0
Rick Sweet,B,73,200,0.234
Thurman Munson,R,71,190,0.292
Rick Monday,L,75,193,0.264
Mike Sadek,R,69,165,0.226
Mark Belanger,R,73,170,0.228
Ron Hunt,R,72,186,0.273
Joe Keough,L,72,185,0.246
Butch Edge,R,75,203,0
Vic Correll,R,70,185,0.229
Jackie Hernandez,R,71,165,0.208
Tony Solaita,L,72,210,0.255
U L Washington,B,71,175,0.251
Gary Mielke,R,75,185,0
Rick Henninger,R,78,225,0
Joe Foy,R,72,215,0.248
Ed Goodson,L,75,180,0.26
Mark Brown,B,74,190,0
Mickey Klutts,R,71,170,0.241
Leroy Stanton,R,73,195,0.244
Rafael Vasquez,R,72,160,0
Len Whitehouse,L,71,175,0
Danny Ainge,R,76,175,0.22
Adolfo Phillips,R,73,175,0.247
Marv Breeding,R,72,175,0.25
Steve Adkins,R,78,210,0
Dick McAuliffe,L,71,176,0.247
Joe Horlen,R,72,170,0.134
Glenn Burke,R,72,195,0.237
Tony Mack,R,70,177,0
Terry Humphrey,R,75,185,0.211
Bill Moran,R,76,210,0
Enzo Hernandez,R,68,155,0.224
Cesar Gutierrez,R,69,155,0.235
Coco Laboy,R,70,165,0.233
Ted Kubiak,B,72,175,0.231
Jim Morrison,R,71,175,0.26
Tom Gilles,R,73,185,0
Bobby Knoop,R,73,170,0.236
Bobby Brown,B,74,190,0.245
Tom Hutton,L,71,180,0.248
Ron Hodges,L,73,185,0.24
Rich Chiles,L,71,170,0.254
Tom Paciorek,R,76,215,0.282
Gary Woods,R,74,185,0.243
Bob Montgomery,R,73,195,0.258
Jeff Burroughs,R,73,200,0.261
Rusty Staub,L,74,190,0.279
Jim Norris,L,70,175,0.264
Oscar Gamble,L,71,160,0.265
Bob Kammeyer,R,76,210,0
George Vukovich,L,72,198,0.268
Joe Pactwa,L,71,185,0
Craig Reynolds,L,73,175,0.256
Paul Blair,R,72,168,0.25
Al Cowens,R,73,197,0.27
Al Oliver,L,72,195,0.303
Dave Hilton,R,71,191,0.213
Luis Alvarado,R,69,162,0.214
Larry Parrish,R,75,190,0.263
Woodie Fryman,R,75,197,0.138
Bob Randall,R,74,175,0.257
Jim Pankovits,R,70,170,0.25
Sherman Corbett,L,76,205,0
Carmen Fanzone,R,72,200,0.224
Gary Allenson,R,71,185,0.221
Milt May,L,72,190,0.263
Mike Vail,R,73,180,0.279
Nick Esasky,R,75,200,0.25
Jim Nettles,L,72,186,0.22
Lafayette Currence,B,71,175,0
Chris Cannizzaro,R,72,190,0.235
Larry Biittner,L,74,205,0.273
John Pawlowski,R,74,175,0
Mel Stottlemyre,R,73,178,0.16
Jack Hardy,R,74,175,0
Ron Musselman,R,74,185,0
Roy Smalley,B,73,185,0.257
Tony Chevez,R,71,177,0
Andy Messersmith,R,73,200,0.17
Richie Zisk,R,73,200,0.287
Dave Chalk,R,70,175,0.252
Don Baylor,R,73,190,0.26
John Vukovich,R,73,187,0.161
Danny Thompson,R,72,183,0.248
Joe Simpson,L,75,175,0.242
Bill Fahey,L,72,200,0.241
Doug Camilli,R,71,195,0.199
Bernie Allen,L,72,175,0.239
Bruce Bochy,R,75,205,0.239
Gary Ignasiak,R,71,185,0
Claudell Washington,L,72,190,0.278
John Donaldson,L,71,160,0.238
Mike Smithson,L,80,215,0
John Mayberry,L,75,215,0.253
Ken Reitz,R,72,180,0.26
Amos Otis,R,71,165,0.277
Gene Alley,R,70,160,0.254
Ted Sizemore,R,70,165,0.262
Dan Briggs,L,72,180,0.195
Joe Skalski,R,75,190,0
Doug Flynn,R,71,165,0.238
Bert Bradley,B,73,190,0
Ken Holtzman,R,74,175,0.163
Pete Ward,L,73,185,0.254
Kevin Bell,R,72,195,0.222
Tom Nieto,R,73,193,0.205
Duke Sims,L,74,197,0.239
Larvell Blanks,R,68,167,0.253
Francisco Barrios,R,71,155,0
Mike Davis,L,74,175,0.259
Jerry Reuss,L,77,200,0.167
Steve Yeager,R,72,190,0.228
Danny Goodwin,L,73,195,0.236
Bud Harrelson,B,71,160,0.236
Bob Knepper,L,75,195,0.137
Mickey Rivers,L,70,165,0.295
Jim Northrup,L,75,190,0.267
John Hale,L,74,195,0.201
Reggie Ritter,L,74,195,0
Pedro Garcia,R,70,175,0.22
Carl Yastrzemski,L,71,175,0.285
Bob Babcock,R,77,210,0
Craig Eaton,R,71,175,0
Derrel Thomas,B,72,160,0.249
Art Howe,R,74,190,0.26
Ike Brown,R,72,190,0.256
Howie Goss,R,76,204,0.216
Glenn Borgmann,R,76,210,0.229
Lamar Johnson,R,74,215,0.287
Julio Gonzalez,R,71,162,0.235
Bobby Klaus,R,70,170,0.208
Manny Sanguillen,R,72,193,0.296
Gates Brown,L,71,220,0.257
Johnny Ray,B,71,170,0.29
Jesus Alou,R,74,190,0.28
Ken Landreaux,L,70,165,0.268
Enos Cabell,R,76,170,0.277
Roy Branch,R,72,175,0
Billy North,B,71,185,0.261
Juan Beniquez,R,71,150,0.274
Frank Fernandez,R,72,185,0.199
Bombo Rivera,R,70,187,0.265
Steve Brye,R,72,190,0.258
Ron Jackson,R,72,200,0.259
Roger Metzger,B,72,165,0.231
Rufino Linares,R,72,170,0.27
Ray Webster,L,72,185,0.244
Bob Kearney,R,72,190,0.233
Fergie Jenkins,R,77,205,0.165
Dick Dietz,R,73,195,0.261
Ted Cox,R,75,195,0.245
Bobby Mitchell,L,70,170,0.243
Bobby Mitchell,R,75,185,0.235
Barry Evans,R,73,180,0.251
Mickey Brantley,R,70,180,0.259
Al Gallagher,R,72,180,0.263
Rob Woodward,R,75,185,0
Hector Cruz,R,71,170,0.225
Fred Norman,B,68,155,0.125
Woody Woodward,R,74,180,0.236
Ted Martinez,R,72,165,0.24
Jim Anderson,R,72,170,0.218
Lenn Sakata,R,69,160,0.23
Dave Duncan,R,74,190,0.214
Randy Jones,R,72,178,0.132
Dick Billings,R,73,195,0.227
Bob Veselic,R,72,175,0
Bruce Bochte,L,75,195,0.282
Bernie Carbo,L,71,173,0.264
Vic Davalillo,L,67,150,0.279
Burt Hooton,R,73,210,0.123
Chuck Hockenbery,B,73,195,0
Bob Ferris,R,78,225,0
Fernando Gonzalez,R,70,165,0.235
Jim Sundberg,R,72,190,0.248
Andy Kosco,R,75,205,0.236
Steve Huntz,B,73,204,0.206
Gary Wheelock,R,75,205,0
Lenny Faedo,R,72,170,0.251
John Lowenstein,L,72,175,0.253
Don Kessinger,B,73,170,0.252
Joe Hague,L,72,195,0.239
Bake McBride,L,74,190,0.299
Dick Davis,R,75,190,0.265
Richie Scheinblum,B,73,180,0.263
Ed Herrmann,L,73,195,0.24
Mike Rochford,L,76,205,0
Jeff Schneider,B,75,195,0
Bob Molinaro,L,72,190,0.264
Mike Hegan,L,73,188,0.242
Mike Diaz,R,74,195,0.247
Tim Foli,R,72,179,0.251
Alan Knicely,R,72,190,0.213
Tim Laudner,R,75,212,0.225
Jose Morales,R,71,187,0.287
Luis Encarnacion,R,70,178,0
Rick Kreuger,R,74,185,0
Juan Marichal,R,72,185,0.165
Vida Blue,B,72,189,0.104
Angel Moreno,L,69,165,0
Roger Weaver,R,75,190,0
Stan Papi,R,72,170,0.218
Rob Wilfong,L,73,180,0.248
Chris Knapp,R,77,195,0
Steve Henderson,R,74,190,0.28
Rob Picciolo,R,74,185,0.234
Don Welchel,R,76,205,0
Randy Wiles,L,73,185,0
Roberto Pena,R,68,170,0.245
Bob Dernier,R,72,160,0.255
Bill Melton,R,74,200,0.253
Albert Hall,B,71,155,0.251
Barbaro Garbey,R,70,170,0.267
John Milner,L,72,185,0.249
Rich Reese,L,75,185,0.253
Chris Bando,B,72,195,0.227
Bill Buckner,L,72,185,0.289
Jack Hiatt,R,74,190,0.251
Nelson Mathews,R,76,195,0.223
Larry Lintz,B,69,150,0.227
Ron Theobald,R,68,165,0.248
Dewey Robinson,R,72,180,0
Rafael Santana,R,73,165,0.246
Jerry Hairston,B,70,170,0.258
Tony Arnold,R,71,170,0
Jeff Schattinger,L,77,200,0
Ike Brookens,R,77,170,0
Tommie Aaron,R,75,190,0.229
Steve Dillard,R,73,180,0.243
Win Remmerswaal,R,74,160,0
Jeff Peterek,R,74,195,0
George Scott,R,74,200,0.268
Jeff Shaver,R,75,195,0
Ken Walters,R,73,180,0.231
Gorman Thomas,R,74,210,0.225
Paul Dade,R,73,185,0.27
Darrell Porter,L,72,193,0.247
Tim Johnson,L,73,170,0.223
Fred Stanley,R,70,165,0.216
Larry Bowa,B,70,155,0.26
Tim Corcoran,L,71,175,0.27
Jim Spencer,L,74,195,0.25
Pete LaCock,L,74,200,0.257
Carl Morton,R,72,200,0.156
Gary Gray,R,72,187,0.24
Matty Alou,L,69,160,0.307
Pete Filson,B,74,195,0
Jim Dwyer,L,70,165,0.26
Dalton Jones,L,73,180,0.235
Rennie Stennett,R,71,160,0.274
Jim Gideon,R,75,190,0
Jerry May,R,74,190,0.234
Rich McKinney,R,71,185,0.225
Clint Hurdle,L,75,195,0.259
Mike Andrews,R,75,195,0.258
Bobby Clark,R,72,190,0.239
Jeff Twitty,L,74,185,0
Cliff Johnson,R,76,215,0.258
Steve Cummings,B,74,200,0
Donn Clendenon,R,76,209,0.274
Charlie James,R,73,195,0.255
Bob Horner,R,73,195,0.277
Tom Veryzer,R,73,175,0.241
Jose Cecena,R,71,180,0
George Smith,R,70,170,0.205
Jim Essian,R,74,195,0.244
Onix Concepcion,R,66,160,0.239
Boots Day,L,69,160,0.256
Brian Giles,R,73,165,0.228
Garry Maddox,R,75,175,0.285
Alex Trevino,R,70,165,0.249
Jim Price,R,72,192,0.214
Felix Millan,R,71,172,0.279
Steve Garvey,R,70,192,0.294
Don Mincher,L,75,205,0.249
Greg Erardi,R,73,190,0
Jim Farr,R,73,195,0
Tony Cloninger,R,72,210,0.192
Jim Gosger,L,71,185,0.226
Chuck Harrison,R,70,185,0.238
Mike Ivie,R,75,205,0.269
Frank Dimichele,R,75,205,0
Bob Veale,B,78,212,0.114
Marvell Wynne,L,71,175,0.247
Dusty Baker,R,74,183,0.278
Tucker Ashford,R,73,195,0.218
Ned Yost,R,73,190,0.212
Bob Stinson,B,71,180,0.25
Mike Warren,R,73,175,0
Gaylord Perry,R,76,205,0.131
Dave Marshall,L,73,182,0.246
Mickey Hatcher,R,74,200,0.28
Roger Repoz,L,75,190,0.224
Bill Fulton,R,75,195,0
John Orsino,R,75,215,0.249
Larry Anderson,R,75,190,0
Johnny Briggs,L,73,190,0.253
Craig Mitchell,R,75,180,0
Dave Hostetler,R,76,215,0.229
Bob Jones,L,74,195,0.221
Keith Hernandez,L,72,180,0.296
Alfredo Martinez,R,75,185,0
Dean Chance,R,75,200,0.066
Willie Upshaw,L,72,185,0.262
Dick Green,R,70,180,0.24
Dane Iorg,L,72,180,0.276
Richie Hebner,L,73,195,0.276
Fran Healy,R,77,220,0.25
Doc Edwards,R,74,215,0.238
Sandy Alomar,B,69,140,0.245
Joe Strain,R,70,169,0.25
Gene Richards,L,72,175,0.29
Buddy Bell,R,73,180,0.279
Al Woods,L,75,190,0.271
Rudy Law,L,73,165,0.271
Joel Davis,L,77,205,0
Jody Davis,R,76,192,0.245
Mike Edwards,R,70,154,0.25
Bill Mooneyham,R,72,175,0
John Hobbs,R,75,190,0
Deron Johnson,R,74,200,0.244
John Denny,R,75,185,0.17
Don Wert,R,70,162,0.242
Mike Fiore,L,72,175,0.227
Miguel Dilone,B,72,160,0.265
Greg Luzinski,R,73,220,0.276
Bobby Tolan,L,71,170,0.265
Karl Best,R,76,190,0
Steve Barr,L,76,200,0
Ron Woods,R,70,168,0.233
Tony Horton,R,75,210,0.268
Randy Hundley,R,71,170,0.236
Jose Tartabull,L,71,165,0.261
Ben Oglivie,L,74,160,0.273
Luis Sanchez,R,74,170,0
Bob Johnson,R,70,175,0.272
Don Buford,B,67,160,0.264
Duane Kuiper,L,72,175,0.271
Brant Alyea,R,75,215,0.247
Jerry Narron,L,75,205,0.211
Lou Johnson,R,71,170,0.258
Ken Retzer,L,72,185,0.264
Mike Brown,R,74,195,0.265
Mike Brown,R,74,195,0
Greg Walker,L,75,205,0.26
Terry Harper,R,76,195,0.253
Jerry Royster,R,72,165,0.249
Steve Davis,L,73,195,0
Jeff Rineer,L,76,205,0
Barry Bonnell,R,75,190,0.272
Tom Seaver,R,73,195,0.154
Jerry Martin,R,73,195,0.251
Bill Stein,R,70,170,0.267
Joel Youngblood,R,72,180,0.265
Reggie Jackson,L,72,195,0.262
Sonny Jackson,L,69,150,0.251
Mark Mercer,L,77,220,0
Rodney Scott,B,72,160,0.236
Rich Coggins,L,68,170,0.265
Phil Gagliano,R,73,180,0.238
Jerry McNertney,R,72,180,0.237
Mitchell Page,L,74,205,0.266
Kiko Garcia,R,71,180,0.239
Larry Milbourne,B,72,161,0.254
Bill Sudakis,B,73,190,0.234
John Caneira,R,75,180,0
Domingo Ramos,R,70,154,0.24
Ron Oester,B,74,185,0.265
Glenn Adams,L,73,180,0.28
Clint Zavaras,R,73,175,0
Joe Morgan,L,67,160,0.271
R.J. Reynolds,B,72,190,0.267
Mike Parrott,R,76,210,0
Lee Thomas,L,74,195,0.255
Ray Fosse,R,74,215,0.256
Paul Popovich,B,72,175,0.233
John Stephenson,L,71,180,0.216
Doug Clemens,L,72,180,0.229
Luis Aponte,R,72,185,0
Orlando Mercado,R,72,180,0.199
Charley Smith,R,73,170,0.239
Paul Boris,R,74,200,0
Buddy Biancalana,B,71,160,0.205
De Wayne Buice,R,72,170,0
Bob Uecker,R,73,190,0.2
Felix Torres,R,71,165,0.254
Steve Braun,L,70,180,0.271
Ray Knight,R,73,185,0.271
Ty Cline,L,72,170,0.238
Thad Bosley,L,75,175,0.272
Bobby Grich,R,74,180,0.266
Jimmie Hall,L,72,175,0.254
John Boccabella,R,73,195,0.219
Brock Davis,L,70,160,0.26
Mark Esser,R,73,190,0
Curt Blefary,L,74,195,0.237
Daryl Smith,R,76,185,0
Dave Smith,R,73,190,0
Mack Jones,L,73,180,0.252
Buddy Bradford,R,71,170,0.226
Hosken Powell,L,73,175,0.259
Dave Stapleton,L,73,185,0
Dave Stapleton,R,73,178,0.271
Gary Ward,R,74,195,0.276
Jim Lonborg,R,77,200,0.136
Joe Lis,R,72,175,0.233
Dan Meyer,L,71,180,0.253
Jim Holt,L,72,180,0.265
Tom Klawitter,R,74,190,0
Larry Herndon,R,75,190,0.274
Gary Christenson,L,77,200,0
Jim Wright,R,77,205,0
Jim Wright,R,73,165,0
Wallace Johnson,B,72,173,0.255
Mike Kinnunen,L,73,185,0
Eddie Leon,R,72,170,0.236
Dave Rajsich,L,77,175,0
Jim Wohlford,R,71,175,0.26
J.R. Richard,R,80,222,0.168
Bill Voss,L,74,160,0.227
Keith Moreland,R,72,190,0.279
Ramon Pena,R,70,155,0
Alex Johnson,R,72,205,0.288
Wayne Krenchicki,L,73,180,0.266
Chico Escarrega,R,71,185,0
Dave Rosello,R,71,160,0.236
Cardell Camper,R,75,208,0
Paul Schaal,R,71,165,0.244
Tito Landrum,R,71,175,0.249
Dave Edwards,R,72,170,0.237
Mario Guerrero,R,70,155,0.257
Tom Tresh,B,73,180,0.245
Mike Overy,R,74,190,0
Ron Roenicke,B,72,180,0.238
Doug Griffin,R,72,160,0.245
Steve Blass,R,72,165,0.172
Johnnie LeMaster,R,74,165,0.222
Craig Chamberlain,R,73,190,0
Nate Oliver,R,70,160,0.226
Ray Sadecki,L,71,180,0.191
Ken Rudolph,R,73,180,0.213
Wayne Nordhagen,R,74,205,0.282
Biff Pocoroba,B,70,175,0.257
Len Matuszek,L,74,190,0.234
Frank Eufemia,R,71,185,0
Joe Lefebvre,L,70,170,0.258
Jim Maloney,L,74,190,0.201
Andre Robertson,R,70,155,0.251
Jerry Zimmerman,R,74,185,0.204
Jack Lazorko,R,71,200,0
Mike Paxton,R,71,190,0
Chet Lemon,R,72,190,0.273
Rickey Keeton,R,74,190,0
Phil Mankowski,L,72,180,0.264
Cleon Jones,R,72,185,0.281
Joaquin Andujar,B,72,170,0.127
Mike Lum,L,72,180,0.247
Johnny Grubb,L,75,175,0.278
Curt Motton,R,68,164,0.213
Johnny Bench,R,73,197,0.267
Dale Berra,R,72,180,0.236
Terry Felton,R,73,180,0
Bob Meacham,B,73,175,0.236
Mark Clear,R,76,200,0
Carl Warwick,R,70,170,0.248
Sam Bowens,R,73,188,0.223
George Wright,B,71,180,0.245
Luis Aguayo,R,69,173,0.236
Hal Lanier,R,74,180,0.228
Mike Pazik,L,74,195,0
Len Randle,B,70,169,0.257
Greg Pryor,R,72,180,0.25
Jim Traber,L,72,194,0.227
Dave Nelson,R,70,160,0.244
Lynn Jones,R,69,175,0.252
Bryan Little,B,70,160,0.245
Ken Suarez,R,69,175,0.227
Rick Peters,B,69,170,0.277
Ron Stone,L,74,185,0.241
Rich Barnes,R,76,186,0
Tommie Agee,R,71,195,0.255
Bob Bailey,R,73,180,0.257
Cap Peterson,R,74,195,0.23
Ted Uhlaender,L,74,190,0.263
Ted Simmons,B,71,193,0.285
Bobby Murcer,L,71,160,0.277
Dick Tracewski,R,71,160,0.213
Dave Frost,R,78,235,0
